Ag,Al,La,Phase,,,,,,,,,
50,40,10,AM,,,,,,,,,
60,10,30,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
30,10,60,AC,,,,,,,,,
30,20,50,AC,,,,,,,,,
30,60,10,AC,,,,,,,,,
40,0,60,AC,,,,,,,,,
45,50,5,AC,,,,,,,,,
60,0,40,AC,,,,,,,,,
60,40,0,AC,,,,,,,,,
20,40,40,CR,,,,,,,,,
25,50,25,CR,,,,,,,,,
30,0,70,CR,,,,,,,,,
50,50,0,CR,,,,,,,,,
70,10,20,CR,,,,,,,,,
70,20,10,CR,,,,,,,,,
70,30,0,CR,,,,,,,,,
Dy,Fe,Zr,Phase,,,,,,,,,
0.3,89.7,10,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
84,6,10,CR,,,,,,,,,
Fe,Ga,Gd,Phase,,,,,,,,,
10,18,72,AM,,,,,,,,,
Fe,Gd,Zr,Phase,,,,,,,,,
88,2,10,AM,,,,,,,,,
89.7,0.3,10,AM,,,,,,,,,
84,6,10,CR,,,,,,,,,
. Fe,Ge,Zr,Phase,,,,,,,,,
89.91,0.09,10,AM,,,,,,,,,
89.946,0.054,10,AM,,,,,,,,,
89.964,0.036,10,AM,,,,,,,,,
89.982,0.018,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
Fe,Hf,Ta,Phase,,,,,,,,,
50,10,40,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
50,40,10,AM,,,,,,,,,
50,50,0,AM,,,,,,,,,
63,37,0,AM,,,,,,,,,
64,8,28,AM,,,,,,,,,
65,4,31,AM,,,,,,,,,
70,13,17,AM,,,,,,,,,
72,19,9,AM,,,,,,,,,
76,22,2,AM,,,,,,,,,
Fe,Hf,Zr,Phase,,,,,,,,,
24,0,76,AM,,,,,,,,,
24,7.6,68.4,AM,,,,,,,,,
24,15.2,60.8,AM,,,,,,,,,
24,22.8,53.2,AM,,,,,,,,,
24,34.2,41.8,AM,,,,,,,,,
Fe,Ir,Zr,Phase,,,,,,,,,
28,2,70,AM,,,,,,,,,
Fe,La,Zr,Phase,,,,,,,,,
84,6,10,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
89.7,0.3,10,AM,,,,,,,,,
Fe,Mn,Zr,Phase,,,,,,,,,
86,4,10,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
82,8,10,AM,,,,,,,,,
Fe,Ni,Zr,Phase,,,,,,,,,
9,81,10,AM,,,,,,,,,
18,72,10,AM,,,,,,,,,
36,54,10,AM,,,,,,,,,
54,36,10,AM,,,,,,,,,
63,27,10,AM,,,,,,,,,
72,18,10,AM,,,,,,,,,
81,9,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
0,33,67,AM,,,,,,,,,
33,0.05,66.95,AM,,,,,,,,,
33,0.1,66.9,AM,,,,,,,,,
33,0.15,66.85,AM,,,,,,,,,
33,0.2,66.8,AM,,,,,,,,,
15,28.05,56.95,AM,,,,,,,,,
5,31.35,63.65,AM,,,,,,,,,
10,29.7,60.3,AM,,,,,,,,,
20,26.4,53.6,AM,,,,,,,,,
25,24.75,50.25,AM,,,,,,,,,
30,23.1,46.9,AM,,,,,,,,,
76.5,13.5,10,AM,,,,,,,,,
3.3,29.7,67,AM,,,,,,,,,
6.6,26.4,67,AM,,,,,,,,,
9.9,23.1,67,AM,,,,,,,,,
13.2,19.8,67,AM,,,,,,,,,
16.5,16.5,67,AM,,,,,,,,,
20.2,12.8,67,AM,,,,,,,,,
23.1,9.9,67,AM,,,,,,,,,
29.7,3.3,67,AM,,,,,,,,,
33,0,67,AM,,,,,,,,,
Fe,Pd,Zr,Phase,,,,,,,,,
28,2,70,AM,,,,,,,,,
Fe,Pr,Zr,Phase,,,,,,,,,
84,6,10,AM,,,,,,,,,
89.7,0.3,10,AM,,,,,,,,,
88,2,10,AC,,,,,,,,,
Fe,Rh,Zr,Phase,,,,,,,,,
28,2,70,AM,,,,,,,,,
Fe,Sc,Zr,Phase,,,,,,,,,
25,37.5,37.5,AM,,,,,,,,,
25,75,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
25,0,75,AM,,,,,,,,,
25,32,43,AM,,,,,,,,,
25,45,30,AM,,,,,,,,,
25,58,17,AM,,,,,,,,,
35,65,0,AM,,,,,,,,,
. Fe,V,Zr,Phase,,,,,,,,,
89.91,0.09,10,AM,,,,,,,,,
89.946,0.054,10,AM,,,,,,,,,
89.964,0.036,10,AM,,,,,,,,,
89.982,0.018,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
Ge,Mn,Pd,Phase,,,,,,,,,
18,1,81,AM,,,,,,,,,
18,2,80,AM,,,,,,,,,
18,5,77,AM,,,,,,,,,
18,7,75,AM,,,,,,,,,
Ge,Mo,Zr,Phase,,,,,,,,,
15,0,85,AM,,,,,,,,,
15,10,75,AM,,,,,,,,,
15,20,65,AM,,,,,,,,,
Ge,Nb,Zr,Phase,,,,,,,,,
11,40,49,AM,,,,,,,,,
12,0,88,AM,,,,,,,,,
13,40,47,AM,,,,,,,,,
15,0,85,AM,,,,,,,,,
15,10,75,AM,,,,,,,,,
15,20,65,AM,,,,,,,,,
15,30,55,AM,,,,,,,,,
15,40,45,AM,,,,,,,,,
15,50,35,AM,,,,,,,,,
15,60,25,AM,,,,,,,,,
16,0,84,AM,,,,,,,,,
17,40,43,AM,,,,,,,,,
19,0,81,AM,,,,,,,,,
19,40,41,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
7,0,93,CR,,,,,,,,,
7,40,53,CR,,,,,,,,,
8,0,92,CR,,,,,,,,,
9,0,91,CR,,,,,,,,,
15,70,15,CR,,,,,,,,,
15,78,7,CR,,,,,,,,,
15,85,0,CR,,,,,,,,,
18,82,0,CR,,,,,,,,,
20,40,40,CR,,,,,,,,,
22,0,78,CR,,,,,,,,,
13,0,87,AM,,,,,,,,,
17,0,83,AM,,,,,,,,,
Ge,Ta,Zr,Phase,,,,,,,,,
15,0,85,AM,,,,,,,,,
15,20,65,AM,,,,,,,,,
Ge,Ti,Zr,Phase,,,,,,,,,
15,0,85,AM,,,,,,,,,
15,20,65,AM,,,,,,,,,
Ge,V,Zr,Phase,,,,,,,,,
15,0,85,AM,,,,,,,,,
15,10,75,AM,,,,,,,,,
15,20,65,AM,,,,,,,,,
Hf,Ni,P,Phase,,,,,,,,,
67,27,6,AM,,,,,,,,,
67,33,0,AM,,,,,,,,,
In,Mg,Zn,Phase,,,,,,,,,
6,70,24,AM,,,,,,,,,
Ir,Nb,Ni,Phase,,,,,,,,,
1,40,59,AM,,,,,,,,,
Ir,Ni,Ta,Phase,,,,,,,,,
1,59,40,AM,,,,,,,,,
La,Mg,Ni,Phase,,,,,,,,,
0,80,20,AM,,,,,,,,,
0,85,15,AM,,,,,,,,,
0,90,10,AM,,,,,,,,,
5,75,20,AM,,,,,,,,,
5,80,15,AM,,,,,,,,,
5,85,10,AM,,,,,,,,,
10,50,40,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
10,65,25,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
10,75,15,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
15,50,35,AM,,,,,,,,,
15,55,30,AM,,,,,,,,,
15,60,25,AM,,,,,,,,,
15,65,20,AM,,,,,,,,,
15,70,15,AM,,,,,,,,,
15,75,10,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
20,45,35,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,55,25,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
20,65,15,AM,,,,,,,,,
20,70,10,AM,,,,,,,,,
25,45,30,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
20,35,45,AM,,,,,,,,,
25,50,25,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
30,45,25,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
5,90,5,AC,,,,,,,,,
30,60,10,AC,,,,,,,,,
40,10,50,AC,,,,,,,,,
40,40,20,AC,,,,,,,,,
50,20,30,AC,,,,,,,,,
0,70,30,CR,,,,,,,,,
10,85,5,CR,,,,,,,,,
15,80,5,CR,,,,,,,,,
20,70,10,CR,,,,,,,,,
50,0,50,CR,,,,,,,,,
9,85,6,AM,,,,,,,,,
12,80,8,AM,,,,,,,,,
18,70,12,AM,,,,,,,,,
24,60,16,AM,,,,,,,,,
35,50,15,AM,,,,,,,,,
36,40,24,AM,,,,,,,,,
40,50,10,AM,,,,,,,,,
48,20,32,AM,,,,,,,,,
60,0,40,AM,,,,,,,,,
La,Mg,Zn,Phase,,,,,,,,,
0,60,40,AM,,,,,,,,,
0,65,35,AM,,,,,,,,,
0,70,30,AM,,,,,,,,,
0,75,25,A M,,,,,,,,,
3,72,25,AM,,,,,,,,,
3,75,22,AM,,,,,,,,,
4,74,22,AM,,,,,,,,,
4,76,20,AM,,,,,,,,,
5,70,25,AM,,,,,,,,,
5,75,20,AM,,,,,,,,,
7,71,22,AM,,,,,,,,,
8,67,25,AM,,,,,,,,,
8,72,20,AM,,,,,,,,,
10,65,25,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
Mg,Mn,Y,Phase,,,,,,,,,
84,4,12,AM,,,,,,,,,
84,6,10,AM,,,,,,,,,
85,0,15,AM,,,,,,,,,
86,2,12,AM,,,,,,,,,
86,4,10,AM,,,,,,,,,
86.5,6,7.5,AM,,,,,,,,,
87,8,5,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
88.5,4,7.5,AM,,,,,,,,,
89,6,5,AM,,,,,,,,,
91,4,5,AM,,,,,,,,,
91.5,6,2.5,AM,,,,,,,,,
82,8,10,AC,,,,,,,,,
83,2,15,AC,,,,,,,,,
84.5,8,7.5,AC,,,,,,,,,
87.5,10,2.5,AC,,,,,,,,,
89.5,8,2.5,AC,,,,,,,,,
90.5,2,7.5,AC,,,,,,,,,
93,2,5,AC,,,,,,,,,
95,5,0,AC,,,,,,,,,
77.5,10,12.5,CR,,,,,,,,,
80,15,5,CR,,,,,,,,,
81,4,15,CR,,,,,,,,,
82.5,10,7.5,CR,,,,,,,,,
85,15,0,CR,,,,,,,,,
90,0,10,CR,,,,,,,,,
90,10,0,CR,,,,,,,,,
92.5,7.5,0,CR,,,,,,,,,
93.5,4,2.5,CR,,,,,,,,,
95.5,2,2.5,CR,,,,,,,,,
Mg,Nd,Ni,Phase,,,,,,,,,
0,60,40,AM,,,,,,,,,
0,70,30,AM,,,,,,,,,
10,40,50,AM,,,,,,,,,
10,50,40,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
35,25,40,AM,,,,,,,,,
40,20,40,AM,,,,,,,,,
40,25,35,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
40,35,25,AM,,,,,,,,,
45,15,40,AM,,,,,,,,,
45,20,35,AM,,,,,,,,,
45,25,30,AM,,,,,,,,,
45,30,25,AM,,,,,,,,,
45,35,20,AM,,,,,,,,,
50,15,35,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
50,25,25,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
50,35,15,AM,,,,,,,,,
55,10,35,AM,,,,,,,,,
55,15,30,AM,,,,,,,,,
55,20,25,AM,,,,,,,,,
55,25,20,AM,,,,,,,,,
55,30,15,AM,,,,,,,,,
55,35,10,AM,,,,,,,,,
60,10,30,AM,,,,,,,,,
60,15,25,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
60,25,15,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
65,5,30,AM,,,,,,,,,
65,10,25,AM,,,,,,,,,
65,15,20,AM,,,,,,,,,
65,20,15,AM,,,,,,,,,
65,25,10,AM,,,,,,,,,
70,10,20,AM,,,,,,,,,
70,15,15,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
75,5,20,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
75,15,10,AM,,,,,,,,,
75,20,5,AM,,,,,,,,,
80,0,20,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
83,5,12,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
88,5,7,AM,,,,,,,,,
90,7.5,2.5,AM,,,,,,,,,
0,30,70,AC,,,,,,,,,
10,30,60,AC,,,,,,,,,
50,10,40,AC,,,,,,,,,
50,40,10,AC,,,,,,,,,
80,15,5,AC,,,,,,,,,
90,0,10,AC,,,,,,,,,
90,5,5,AC,,,,,,,,,
92.5,7.5,0,AC,,,,,,,,,
0,40,60,CR,,,,,,,,,
0,50,50,CR,,,,,,,,,
0,80,20,CR,,,,,,,,,
10,70,20,CR,,,,,,,,,
20,70,10,CR,,,,,,,,,
30,20,50,CR,,,,,,,,,
30,60,10,CR,,,,,,,,,
40,50,10,CR,,,,,,,,,
70,0,30,CR,,,,,,,,,
85,15,0,CR,,,,,,,,,
90,10,0,CR,,,,,,,,,
95,5,0,CR,,,,,,,,,
97.5,2.5,0,CR,,,,,,,,,
64,15,21,AM,,,,,,,,,
Mg,Ni,Y,Phase,,,,,,,,,
30,40,30,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
60,25,15,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
65,15,20,AM,,,,,,,,,
65,20,15,AM,,,,,,,,,
65,25,10,AM,,,,,,,,,
65,30,5,AM,,,,,,,,,
70,15,15,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
75,15,10,AM,,,,,,,,,
75,20,5,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
80,15,5,AM,,,,,,,,,
80,20,0,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
50,40,10,AC,,,,,,,,,
70,10,20,AC,,,,,,,,,
80,5,15,AC,,,,,,,,,
40,40,20,CR,,,,,,,,,
90,5,5,CR,,,,,,,,,
Mg,Sn,Zn,Phase,,,,,,,,,
70,6,24,AM,,,,,,,,,
Mg,Sr,Zn,Phase,,,,,,,,,
18,60,22,AM,,,,,,,,,
Mn,Ni,Zr,Phase,,,,,,,,,
0,33,67,AM,,,,,,,,,
33,0.05,66.95,AM,,,,,,,,,
33,0.1,66.9,AM,,,,,,,,,
33,0.15,66.85,AM,,,,,,,,,
33,0.2,66.8,AM,,,,,,,,,
15,28.05,56.95,AM,,,,,,,,,
5,31.35,63.65,AM,,,,,,,,,
10,29.7,60.3,AM,,,,,,,,,
20,26.4,53.6,AM,,,,,,,,,
25,24.75,50.25,AM,,,,,,,,,
30,23.1,46.9,AM,,,,,,,,,
Nb,Ni,Pd,Phase,,,,,,,,,
40,59,1,AM,,,,,,,,,
Nb,Ni,Pt,Phase,,,,,,,,,
40,57,3,AM,,,,,,,,,
40,59,1,AM,,,,,,,,,
Nb,Ni,Ta,Phase,,,,,,,,,
0,60,40,AM,,,,,,,,,
0,65,35,AM,,,,,,,,,
0,70,30,AM,,,,,,,,,
0,80,20,AM,,,,,,,,,
0,90,10,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
15,60,25,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
25,60,15,AM,,,,,,,,,
30,60,10,AM,,,,,,,,,
35,60,5,AM,,,,,,,,,
40,60,0,AM,,,,,,,,,
50,50,0,AM,,,,,,,,,
60,40,0,AM,,,,,,,,,
0,50,50,AM,,,,,,,,,
Ni,Pd,Ta,Phase,,,,,,,,,
59,1,40,AM,,,,,,,,,
Ni,Pd,Zr,Phase,,,,,,,,,
59,1,40,AM,,,,,,,,,
Ni,Ru,Ta,Phase,,,,,,,,,
59,1,40,AM,,,,,,,,,
Ni,Ti,Zr,Phase,,,,,,,,,
33,0,67,AM,,,,,,,,,
33,67,0,AM,,,,,,,,,
50,0,50,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
60,40,0,AM,,,,,,,,,
63,0,37,AM,,,,,,,,,
50,17,33,AM,,,,,,,,,
50,25,25,AM,,,,,,,,,
50,33,17,AM,,,,,,,,,
33,0.05,66.95,AM,,,,,,,,,
33,0.1,66.9,AM,,,,,,,,,
33,0.15,66.85,AM,,,,,,,,,
33,0.2,66.8,AM,,,,,,,,,
28.05,15,56.95,AM,,,,,,,,,
24.75,25,50.25,AM,,,,,,,,,
26.4,20,53.6,AM,,,,,,,,,
29.7,10,60.3,AM,,,,,,,,,
31.35,5,63.65,AM,,,,,,,,,
30,0,70,AM,,,,,,,,,
35,65,0,AM,,,,,,,,,
70,0,30,AM,,,,,,,,,
Ni,V,Zr,Phase,,,,,,,,,
20,30,50,AM,,,,,,,,,
22,20,58,AM,,,,,,,,,
25,10,65,AM,,,,,,,,,
28,0,72,AM,,,,,,,,,
37,25,38,AM,,,,,,,,,
40,20,40,AM,,,,,,,,,
45,10,45,AM,,,,,,,,,
47,30,23,AM,,,,,,,,,
50,0,50,AM,,,,,,,,,
54,20,26,AM,,,,,,,,,
60,10,30,AM,,,,,,,,,
67,0,33,AM,,,,,,,,,
46,30,24,AM,,,,,,,,,
50,25,25,AM,,,,,,,,,
33,0,67,AM,,,,,,,,,
33,0.05,66.95,AM,,,,,,,,,
33,0.1,66.9,AM,,,,,,,,,
33,0.15,66.85,AM,,,,,,,,,
33,0.2,66.8,AM,,,,,,,,,
28.05,15,56.95,AM,,,,,,,,,
24.75,25,50.25,AM,,,,,,,,,
26.4,20,53.6,AM,,,,,,,,,
29.7,10,60.3,AM,,,,,,,,,
31.35,5,63.65,AM,,,,,,,,,
24,25,51,AM,,,,,,,,,
29,20,51,AM,,,,,,,,,
30,10,60,AM,,,,,,,,,
31,5,64,AM,,,,,,,,,
45,25,30,AM,,,,,,,,,
48,20,32,AM,,,,,,,,,
50.5,25,24.5,AM,,,,,,,,,
53,20,27,AM,,,,,,,,,
55,10,35,AM,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
